[['H', 'F', 'M', 'R', 'K', 'S', 'A', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1774]
[['M', 'G', 'A', 'R', 'K', 'S', 'H', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1775]
[['H', 'F', 'B', 'R', 'K', 'S', 'M', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'A', 'G', 'D'], 1776]
[['D', 'F', 'A', 'M', 'S', 'K', 'R', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'H'], 1778]
[['H', 'G', 'A', 'M', 'S', 'E', 'O', 'R', 'I', 'T', 'P', 'N', 'K', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1778]
[['H', 'F', 'A', 'M', 'S', 'E', 'O', 'R', 'I', 'T', 'P', 'N', 'K', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1780]
[['H', 'G', 'A', 'K', 'S', 'M', 'R', 'D', 'N', 'T', 'P', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'O'], 1782]
[['D', 'G', 'A', 'M', 'S', 'K', 'O', 'I', 'R', 'T', 'P', 'N', 'E', 'J', 'C', 'L', 'Q', 'B', 'F', 'H'], 1784]
[['H', 'G', 'A', 'R', 'K', 'S', 'M', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1787]
[['H', 'F', 'A', 'R', 'K', 'S', 'M', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1789]
[['S', 'F', 'B', 'M', 'H', 'K', 'R', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'A', 'G', 'D'], 1796]
